Product,Unit_Price,Quantity,Total_Amount,Date
فاتيكا كريم شعر 125 مل,55,1,55,20260503
هير ميست,65,1,65,20260503
عدسات فريش ليدي,110,1,110,20260503
روز بيري كريم اساس,220,1,220,20260503
ديرما رول,75,1,75,20260503
ملقاط ذهبي,30,1,30,20260503
روز جولد ليب بالم,45,1,45,20260503
ريكسونا اسبراي 150 مل,155,1,155,20260503
كيالي برفان 100 مل,350,1,350,20260503
استك الوان ليكرا كبير 3 على كارت,20,1,20,20260503
نانا دابل فيس حجاب,25,1,25,20260502
مغناطيس حجاب (قطعة),30,4,120,20260502
كوليه فصوص دورين استانليس,120,1,120,20260502
قطعة مولفيكس مقاس (3),7.5,10,75,20260502
دوف مزيل عرق رول اون 50 مل,95,1,95,20260502
خاتم (حرف صغير + اشكال) استانليس,50,1,50,20260502
ميدالية نجمة البحر,65,1,65,20260502
ديرماتيك تونر 150 مل,160,1,160,20260502
ساندرا ليب جلوس شفاف,45,1,45,20260502
عدسات فريش ليدي,63,50,3150,20260502
خاتم ستانلس,55,1,55,20260502
توكة وردة تريندي,25,1,25,20260502
فريدا معطر جو,60,1,60,20260502
انفنيتي رول اون 80 مل,120,1,120,20260502
روج ستيك روز جولد 180,65,1,65,20260502
مويست ميلكي غسول بخاخ 200 مل,175,1,175,20260501
سيرم بلوب صغير,140,1,140,20260501
سيفورا كحل,65,1,65,20260501
لونا ليب ثيرابي 10جرام,45,1,45,20260501
فلورمار قلم حواجب بني,30,1,30,20260501
برفان 60 مل,60,1,60,20260501
بونابيلا كريم تصفيف شعر200 جرام,150,1,150,20260501
كلاري ليف ان كريم شعر 300 جرام,270,1,270,20260501
كلبس تيكتاك اشكال ملون,10,1,10,20260501
ار كيو برفان 30 مل,95,2,190,20260501
بكر شعر 10 قطعة,45,1,45,20260501
ار كيو برفان رول اون 10 مل,45,1,45,20260501
كير مناديل مبللة 120 قطعة,40,1,40,20260430
سترس وجه و اظافر (كارت),20,1,20,20260430
كوليه فصوص دورين استانليس,120,1,120,20260430
ار كيو برفان 30 مل,95,1,95,20260430
ايسنس مسكرة شفافة,50,1,50,20260430
الفارس زيت ورد 125 مل,45,1,45,20260430
سي ليت رول اون 50 مل,110,1,110,20260430
فرشاة  مسكرة,5,1,5,20260430
فرشاة  مسكرة,5,1,5,20260430
علبة دبوس طرحة بيضاوية كبيرة,10,1,10,20260430
قطعة فيك بيرسنج,10,2,20,20260430
ليفين مرطب للبشرة 5 مل,5,1,5,20260430
باودر باف 6 قطع,35,1,35,20260430
طوق لولي الوان,25,1,25,20260430
قطعة كلبس فيونكة كشمير * ابيض,15,1,15,20260430
كلبس فيونكة الوان صغير 2 على كارت,20,3,60,20260430
ميني بيوتي بلندر 4 قطع,20,1,20,20260430
انيزيو شامبو ضد القشرة 250 مل,260,1,260,20260430
العراب ماء ورد 250 مل,25,1,25,20260430
حرير سويت,25,1,25,20260430
مسك طهارة حامل المسك,45,1,45,20260430
بريتي وومن مناديل ازالة مكياج,5,5,25,20260430
الصاروخ لاصق اظافر,10,1,10,20260430
بيوتي بلندر,15,1,15,20260430
كحل بنجور ماتيك,20,1,20,20260430
افوفا شفرات حريمي (كيس اخضر) 4 + 1,75,1,75,20260429
دودج ليف ان كريم  450 جم,90,1,90,20260429
بدي ليشيوس رول اون,60,1,60,20260429
بدي ليشيوس رول اون,60,1,60,20260429
مسك طهارة حامل المسك,33,3,99,20260429
جلوري حنة أكياس,45,6,270,20260429
ازها رول اون 60 مل,160,1,160,20260429
ازها رول اون 60 مل,90,2,180,20260429
استك 551-31,25,1,25,20260429
وايت مناديل سحب,30,1,30,20260429
انيزيو شامبو ضد القشرة 250 مل,182,2,364,20260429
انيزيو غسول جل للوجه 200 مل,192.5,2,385,20260429
سجدة توكة ستان,25,1,25,20260429
فاتيكا حنة,40,4,160,20260429
ميني بيوتي بلندر 4 قطع,20,1,20,20260429
FOR EVER اظافر يد (شريط),26.667,12,320,20260429
فرشاة  مسكرة,5,1,5,20260429
ار كيو برفان 30 مل,65,5,325,20260429
ار كيو برفان رول اون 10 مل,27.5,6,165,20260429
منقار تيوليب شيفون,40,1,40,20260428
نانا دابل فيس حجاب,25,1,25,20260428
طقم غويشة كارتير بومبيه 6 * 1 استانليس(قطعة),21.666,1,21.67,20260428
طقم غويشة كارتير بومبيه 6 * 1 استانليس(قطعة),35,1,35,20260428
مغناطيس حجاب (قطعة),30,1,30,20260428
استك ليكرا كبير قلوب 3 على كارت,25,1,25,20260428
اسورة مسمار سترس استانليس,130,1,130,20260428
ار كيو برفان 30 مل,90,2,180,20260428
دوف صابونة 90 جرام,40,1,40,20260428
دوف شامبو 180 مل,85,1,85,20260428
شراب حريمي طويل,25,1,25,20260428
شراب فوال سادة,20,1,20,20260428
خاتم اطفال (علبة قلب),10,1,10,20260428
روز بيري تنت جيلي,90,1,90,20260428
ايفا سيرم بالهيالورونيك اسيد 30 مل,210,1,210,20260428
اليس ليفة مغربية,45,1,45,20260428
ام ان مسكرة حواجب,75,1,75,20260428
كيسيم اسبراي 75 مل,40,1,40,20260428
كشمير رول اون 10 مل,40,1,40,20260428
كيسيم اسبراي اماراتي  150 مل,80,1,80,20260428
بيك اسبراي 200 مل,150,1,150,20260428
ايفا بدي سكراب 250 جرام,110,1,110,20260428
استك مجموعات صغير 24 قطعة,25,1,25,20260428
خاتم ستانلس,55,1,55,20260428
بوبانا غسول عرض 2*1 (150 مل + 50 مل),85,1,85,20260428
طقم فوارغ 5*1,55,1,55,20260428
بونابيلا حمام كريم كيس,25,2,50,20260428
كير اند مور بدي لوشن  150مل,75,1,75,20260428
ستارفيل صابونة تفتيح 90 جرام,50,1,50,20260428
فلومار اكلادور 16 مل,25,2,50,20260428
العراب ماء ورد 250 مل,25,1,25,20260427
اليس ليفة مغربية,45,1,45,20260427
ميني بيوتي بلندر 4 قطع,20,1,20,20260427
علبة دبوس طرحة بيضاوية كبيرة,10,1,10,20260427
مخمرية روائح متنوعة,40,1,40,20260427
كلير شامبو ضد القشرة 180 مل,85,1,85,20260427
ايسنس مسكرة شفافة,50,1,50,20260427
ار كيو برفان 30 مل,90,1,90,20260427
سكراب النيلة الزرقاء المغربي,40,1,40,20260426
مناديل جيب مبللة,10,1,10,20260426
فاتيكا شامبو 360 مل,75,1,75,20260425
تيترا جلو صن سكرين لوشن 50 مل,225,1,225,20260425
ليب بالم تاناكو كوري,25,1,25,20260425
سلسلة mka,35,1,35,20260425
ايفا كريم مرطب 50 جم,30,1,30,20260425
ايفا بدي سبلاش 240 مل,200,1,200,20260425
ايفا كريم مرطب 20 جرام,15,1,15,20260425
قطعة مبرد اظافر خشب صغير,5,1,5,20260425
شراب حريمي طويل,25,1,25,20260425
فرشاة  مسكرة,5,1,5,20260425
سيلفانا اكلادور,15,1,15,20260425
كيكو اكلادور 18 مل,30,1,30,20260425
دير رول اون,150,1,150,20260425
هير دو شامبو 500 مل,45,1,45,20260425
مينك شامبو 400 مل,60,1,60,20260425
محفظة حريمي مستوردة,110,1,110,20260425
كير اند مور ليب بالم,25,1,25,20260425
هدى مسكرة شفافة فواكه,45,1,45,20260425
استك مجموعات الوان 10 على كارت,20,1,20,20260424
منقار تيوليب شيفون,40,1,40,20260424
كوليه وردة (فان كليف) استانليس,90,1,90,20260424
انسيال وردة (فان كليف) استانليس,85,1,85,20260424
استك ليكرا كبير(بني + بيج) 5 على كارت,25,1,25,20260424
القرمز صبغة شعر,50,1,50,20260424
